Evaluate inference time cost...
get Get outputs
start to dump
start to json
Node Name                                  Ops                                        Time(us)  Time(%)  Shape              Inputs  Outputs  
tvmgen_default_fused_divide_5              tvmgen_default_fused_divide_5              10.387    0.184    (1024,)            2       1        
tvmgen_default_fused_divide_51             tvmgen_default_fused_divide_5              10.226    0.181    (1024,)            2       1        
tvmgen_default_fused_divide_52             tvmgen_default_fused_divide_5              10.226    0.181    (1024,)            2       1        
tvmgen_default_fused_divide_3              tvmgen_default_fused_divide_3              10.147    0.18     (256,)             2       1        
tvmgen_default_fused_add_81                tvmgen_default_fused_add_8                 10.05     0.178    (128,)             2       1        
tvmgen_default_fused_divide_410            tvmgen_default_fused_divide_4              9.879     0.175    (512,)             2       1        
tvmgen_default_fused_divide_4              tvmgen_default_fused_divide_4              9.878     0.175    (512,)             2       1        
tvmgen_default_fused_divide_48             tvmgen_default_fused_divide_4              9.877     0.175    (512,)             2       1        
tvmgen_default_fused_divide_42             tvmgen_default_fused_divide_4              9.873     0.175    (512,)             2       1        
tvmgen_default_fused_divide_46             tvmgen_default_fused_divide_4              9.871     0.175    (512,)             2       1        
tvmgen_default_fused_divide_22             tvmgen_default_fused_divide_2              9.869     0.175    (128,)             2       1        
tvmgen_default_fused_divide_45             tvmgen_default_fused_divide_4              9.863     0.175    (512,)             2       1        
tvmgen_default_fused_nn_bias_add           tvmgen_default_fused_nn_bias_add           9.859     0.175    (1, 1000)          2       1        
tvmgen_default_fused_divide                tvmgen_default_fused_divide                9.854     0.175    (32,)              2       1        
tvmgen_default_fused_divide_1              tvmgen_default_fused_divide_1              9.854     0.175    (64,)              2       1        
tvmgen_default_fused_divide_44             tvmgen_default_fused_divide_4              9.835     0.174    (512,)             2       1        
tvmgen_default_fused_divide_49             tvmgen_default_fused_divide_4              9.822     0.174    (512,)             2       1        
tvmgen_default_fused_divide_41             tvmgen_default_fused_divide_4              9.818     0.174    (512,)             2       1        
tvmgen_default_fused_divide_23             tvmgen_default_fused_divide_2              9.801     0.174    (128,)             2       1        
tvmgen_default_fused_divide_47             tvmgen_default_fused_divide_4              9.801     0.174    (512,)             2       1        
tvmgen_default_fused_add_18                tvmgen_default_fused_add_18                9.797     0.174    (1, 512, 7, 7)     2       1        
tvmgen_default_fused_multiply_5            tvmgen_default_fused_multiply_5            9.794     0.173    (128,)             2       1        
tvmgen_default_fused_divide_43             tvmgen_default_fused_divide_4              9.771     0.173    (512,)             2       1        
tvmgen_default_fused_divide_411            tvmgen_default_fused_divide_4              9.767     0.173    (512,)             2       1        
tvmgen_default_fused_nn_relu_8             tvmgen_default_fused_nn_relu_8             9.759     0.173    (1, 512, 7, 7)     1       1        
tvmgen_default_fused_divide_2              tvmgen_default_fused_divide_2              9.747     0.173    (128,)             2       1        
tvmgen_default_fused_sqrt_1                tvmgen_default_fused_sqrt_1                9.683     0.171    (64,)              1       1        
tvmgen_default_fused_divide_31             tvmgen_default_fused_divide_3              9.658     0.171    (256,)             2       1        
tvmgen_default_fused_sqrt_5                tvmgen_default_fused_sqrt_5                9.658     0.171    (1024,)            1       1        
tvmgen_default_fused_multiply_57           tvmgen_default_fused_multiply_5            9.639     0.171    (128,)             2       1        
tvmgen_default_fused_sqrt_52               tvmgen_default_fused_sqrt_5                9.636     0.171    (1024,)            1       1        
tvmgen_default_fused_multiply_14           tvmgen_default_fused_multiply_14           9.631     0.171    (1024,)            2       1        
tvmgen_default_fused_negative_5            tvmgen_default_fused_negative_5            9.611     0.17     (1024,)            1       1        
tvmgen_default_fused_multiply_8            tvmgen_default_fused_multiply_8            9.607     0.17     (256,)             2       1        
tvmgen_default_fused_divide_32             tvmgen_default_fused_divide_3              9.594     0.17     (256,)             2       1        
tvmgen_default_fused_negative              tvmgen_default_fused_negative              9.59      0.17     (32,)              1       1        
tvmgen_default_fused_sqrt                  tvmgen_default_fused_sqrt                  9.561     0.169    (32,)              1       1        
